품목코드,출고일,출고수량,비고
ITEM001,2026-08-22,30,업로드 테스트
ITEM002,2026-08-22,43,업로드 테스트
ITEM003,2026-08-22,56,업로드 테스트
ITEM004,2026-08-22,69,업로드 테스트
ITEM005,2026-08-22,82,업로드 테스트
ITEM006,2026-08-22,35,업로드 테스트
ITEM007,2026-08-22,48,업로드 테스트
ITEM008,2026-08-22,61,업로드 테스트
ITEM009,2026-08-22,74,업로드 테스트
ITEM010,2026-08-22,87,업로드 테스트
ITEM001,2026-08-23,37,업로드 테스트
ITEM002,2026-08-23,50,업로드 테스트
ITEM003,2026-08-23,63,업로드 테스트
ITEM004,2026-08-23,76,업로드 테스트
ITEM005,2026-08-23,89,업로드 테스트
ITEM006,2026-08-23,42,업로드 테스트
ITEM007,2026-08-23,55,업로드 테스트
ITEM008,2026-08-23,68,업로드 테스트
ITEM009,2026-08-23,81,업로드 테스트
ITEM010,2026-08-23,34,업로드 테스트
ITEM001,2026-08-24,44,업로드 테스트
ITEM002,2026-08-24,57,업로드 테스트
ITEM003,2026-08-24,70,업로드 테스트
ITEM004,2026-08-24,83,업로드 테스트
ITEM005,2026-08-24,36,업로드 테스트
ITEM006,2026-08-24,49,업로드 테스트
ITEM007,2026-08-24,62,업로드 테스트
ITEM008,2026-08-24,75,업로드 테스트
ITEM009,2026-08-24,88,업로드 테스트
ITEM010,2026-08-24,41,업로드 테스트
ITEM001,2026-08-25,51,업로드 테스트
ITEM002,2026-08-25,64,업로드 테스트
ITEM003,2026-08-25,77,업로드 테스트
ITEM004,2026-08-25,30,업로드 테스트
ITEM005,2026-08-25,43,업로드 테스트
ITEM006,2026-08-25,56,업로드 테스트
ITEM007,2026-08-25,69,업로드 테스트
ITEM008,2026-08-25,82,업로드 테스트
ITEM009,2026-08-25,35,업로드 테스트
ITEM010,2026-08-25,48,업로드 테스트
ITEM001,2026-08-26,58,업로드 테스트
ITEM002,2026-08-26,71,업로드 테스트
ITEM003,2026-08-26,84,업로드 테스트
ITEM004,2026-08-26,37,업로드 테스트
ITEM005,2026-08-26,50,업로드 테스트
ITEM006,2026-08-26,63,업로드 테스트
ITEM007,2026-08-26,76,업로드 테스트
ITEM008,2026-08-26,89,업로드 테스트
ITEM009,2026-08-26,42,업로드 테스트
ITEM010,2026-08-26,55,업로드 테스트
